Date,Headlines,Negative,Neutral,Positive,Actual Sentiment,Sentiment value
07/01/2013,Week in geek's 2013 preview: superheroes and science fiction rule : Week in geek,0.010616127,0.6670402,0.32234362,Neutral,0.6670402
10/01/2013,Christopher Nolan's next film mission to go Interstellar,0.024471542,0.93346226,0.04206614,Neutral,0.93346226
29/01/2013,How film and musical theatre formed a lucrative bond : After Hollywood,0.017493002,0.8248113,0.15769564,Neutral,0.8248113
04/02/2013,Wreck-It Ralph looks set to be a hit at the Oscars after cleaning up at Annies,0.001242218,0.037291907,0.9614659,Positive,0.9614659
05/02/2013,Henry Selick seeks new backing for animated film dropped by Disney,0.034944214,0.8846638,0.08039194,Neutral,0.8846638
17/02/2013,Film school graduates take on might of Disney in the race for Oscar glory,0.027340004,0.7678549,0.20480503,Neutral,0.7678549
18/02/2013,"Harrison Ford will return in new Star Wars films, reports claim",0.003910162,0.83959496,0.1564949,Neutral,0.83959496
21/02/2013,Return of the Jedi? Mark Hamill set for talks to reprise Luke Skywalker,0.009070776,0.94469136,0.046237905,Neutral,0.94469136
21/02/2013,Mark Hamill confirms he is in talks for new Star Wars movie,0.003107343,0.71786344,0.27902925,Neutral,0.71786344
21/02/2013,Sky Movies Disney: new channel to show UK TV film premieres,0.004117279,0.79505205,0.20083068,Neutral,0.79505205
01/03/2013,Disney shareholders threaten revolt over executive pay,0.5468977,0.43547103,0.017631317,Negative,0.5468977
01/03/2013,Emma Watson and Daniel Radcliffe set for starring roles in two classic tales,0.006361343,0.84519434,0.14844432,Neutral,0.84519434
05/03/2013,Temple Run: Oz shows changing face of movie/games licensing deals : Apps blog,0.014217225,0.8043281,0.18145469,Neutral,0.8043281
07/03/2013,Carrie Fisher says she's signed up to Star Wars sequel,0.00512969,0.719762,0.27510834,Neutral,0.719762
07/03/2013,Disney turns away from hand-drawn animation,0.35592577,0.5944256,0.049648657,Neutral,0.5944256
08/03/2013,Oz the Great and Powerful sequel already on its way,0.004224884,0.34729132,0.6484838,Positive,0.6484838
08/03/2013,"Original Star Wars trio already on board for sequel, says George Lucas",0.006197337,0.7446818,0.24912086,Neutral,0.7446818
08/03/2013,30 best iPhone and iPad apps this week : Best iPhone and iPad apps,0.001226643,0.042945776,0.95582765,Positive,0.95582765
09/03/2013,Star Wars – a new hope? Fans wait nervously for Disney's new sequel,0.1855668,0.67554265,0.13889055,Neutral,0.67554265
12/03/2013,Beauty and the Beast next in line for Disney live action makeover,0.002685861,0.4149991,0.582315,Positive,0.582315
12/03/2013,"Oz the Great and Powerful aims over the rainbow, Side Effects also appealing : Box office analysis: UK",0.002108883,0.1372233,0.8606678,Positive,0.8606678
15/03/2013,Warner Bros v Disney: the fight for Oz's yellow brick road,0.028304081,0.855883,0.11581283,Neutral,0.855883
20/03/2013,Harrison Ford confirms return as Han Solo in Star Wars Episode VII,0.00273816,0.7953739,0.20188789,Neutral,0.7953739
21/03/2013,Jean-Claude Van Damme wants to be in The Avengers 2 – can you say no? : Film blog,0.29806712,0.6169632,0.084969744,Neutral,0.6169632
08/04/2013,Mouseketeer Annette Funicello dies at 70 of complications from MS,0.7806393,0.20958449,0.00977615,Negative,0.7806393
09/04/2013,Annette Funicello obituary,0.09537271,0.8509852,0.053642027,Neutral,0.8509852
18/04/2013,"If you have to celebrate National Princess Week, don't buy the goods : US money blog",0.39426246,0.498116,0.10762154,Neutral,0.498116
18/04/2013,"New Star Wars trilogy to arrive in 2015, 2017 and 2019",0.003371856,0.7405505,0.25607762,Neutral,0.7405505
