Date,Headlines,Negative,Neutral,Positive,Actual Sentiment,Sentiment value
10/01/2013,Christopher Nolan's next film mission to go Interstellar,0.024471542,0.93346226,0.04206614,Neutral,0.93346226
16/01/2013,No Jack Reacher sequel? How else will Tom Cruise rescue this ridiculous film? : Film blog,0.71697634,0.24569644,0.037327264,Negative,0.71697634
21/01/2013,"Lance Armstrong film on way, with JJ Abrams in saddle",0.006277915,0.9015308,0.09219131,Neutral,0.9015308
28/01/2013,Hansel and Gretel: Witch Hunters kicks its way to the top : Box office analysis: US,0.011658631,0.6616835,0.32665786,Neutral,0.6616835
28/01/2013,Bradley Cooper to star as Lance Armstrong in forthcoming biopic,0.006018846,0.92136264,0.072618544,Neutral,0.92136264
02/04/2013,Jack Reacher film gives New Zealand viewer too little bang for his buck,0.69284225,0.28112438,0.02603342,Negative,0.69284225
12/04/2013,My hero: Mae West by Kathy Lette : My hero,0.008829233,0.4162631,0.57490766,Positive,0.57490766
19/04/2013,Transformers 4 mounts reality TV search for Chinese wannabe actors,0.14982195,0.8107461,0.039431952,Neutral,0.8107461
15/05/2013,Star Trek Into Darkness is light years ahead of the competition : Box office analysis: UK,0.025417145,0.46512714,0.50945574,Positive,0.50945574
24/06/2013,Monsters University takes World War Z to school as it wins US box office battle : Hollywood report,0.036429673,0.6713737,0.29219657,Neutral,0.6713737
24/06/2013,World War Z earns sequel after gobbling up global box office,0.038631737,0.40568975,0.55567855,Positive,0.55567855
26/06/2013,Man of Steel does battle with Brad Pitt's zombie apocalypse World War Z : Box office analysis: UK,0.09965234,0.84831285,0.05203481,Neutral,0.84831285
28/06/2013,Terminator 5 set to be the first movie in a brand new trilogy,0.005847534,0.8728266,0.12132589,Neutral,0.8728266
22/07/2013,Beverly Hills Cop TV series shot down,0.77321017,0.21736774,0.00942212,Negative,0.77321017
30/07/2013,Hollywood studios owed millions by China : Film blog,0.5550714,0.4245945,0.020334052,Negative,0.5550714
06/10/2013,AC Lyles obituary,0.11358649,0.83198345,0.054430094,Neutral,0.83198345
14/11/2013,Mission: Impossible 5 chooses to accept Christmas 2015 release,0.00986107,0.7587695,0.23136945,Neutral,0.7587695
20/11/2013,Paramount to fight planned 2015 It's A Wonderful Life sequel,0.03005674,0.79480094,0.17514235,Neutral,0.79480094
03/12/2013,Top 10 musicals : Film blog,0.009499403,0.56045943,0.43004113,Neutral,0.56045943
11/12/2013,World War Z sequel signs Impossible director Juan Antonio Bayona,0.019200541,0.8793807,0.10141876,Neutral,0.8793807
23/12/2013,The Hobbit and Anchorman sequels tread lead-footed behind predecessors : Box office analysis: US,0.014054989,0.89435107,0.091593966,Neutral,0.89435107
21/01/2014,China teams up with Hollywood for terracotta army superhero movie,0.072222225,0.8666031,0.061174713,Neutral,0.8666031
21/01/2014,Paramount first Hollywood studio to abandon film prints,0.16676117,0.79712516,0.036113683,Neutral,0.79712516
14/02/2014,Sacha Baron Cohen to follow up Dictator success with Paramount deal,0.010922325,0.7866103,0.20246744,Neutral,0.7866103
11/03/2014,Studio cut of Noah 'featured religious montage and Christian rock song',0.04964269,0.91481483,0.035542466,Neutral,0.91481483
12/03/2014,How Russell Crowe's Noah united two religions – against it : Pass notes,0.16528855,0.79650044,0.038211003,Neutral,0.79650044
18/03/2014,Paramount deny Pope Francis 'cancelled' meeting with Noah's Russell Crowe and Darren Aronofsky,0.28338528,0.6962211,0.020393657,Neutral,0.6962211
19/03/2014,Noah's Russell Crowe and Darren Aronofsky meet pope in Vatican City,0.010049301,0.9033205,0.08663017,Neutral,0.9033205
31/03/2014,Tom Cruise: Top Gun sequel on cards,0.008352371,0.78625286,0.20539482,Neutral,0.78625286
11/04/2014,The Truman Show set for small screen : Media Monkey,0.048613157,0.9036422,0.047744703,Neutral,0.9036422
08/07/2014,Chinese tourism firm to sue Transformers film studio,0.37443653,0.6074939,0.018069578,Neutral,0.6074939
06/08/2014,US TV to screen Alexander Payne's hated colour version of Nebraska,0.51809895,0.46472615,0.017174898,Negative,0.51809895
26/08/2014,Shutter Island set to become HBO TV series,0.023276925,0.88213575,0.094587326,Neutral,0.88213575
11/09/2014,Top Five review: Chris Rock dazzles in full meta jacket : First look review,0.002687006,0.25700337,0.7403096,Positive,0.7403096
28/10/2014,Erotic Harry Styles-inspired fan-fiction set for big screen,0.012340246,0.8427797,0.14488001,Neutral,0.8427797
04/11/2014,Christopher Nolan: the man who rebooted the blockbuster : The long read,0.015326495,0.82172835,0.1629452,Neutral,0.82172835
10/11/2014,Interstellar dominates global box office but Big Hero 6 wins in US,0.009292917,0.47418216,0.5165249,Positive,0.5165249
13/11/2014,Hasbro toys with buying DreamWorks – and shows Hollywood is played out : Film blog,0.099265344,0.8248964,0.075838275,Neutral,0.8248964
10/12/2014,Sherlock World? BBC shows lined up for £2bn UK theme park,0.057964306,0.7634022,0.17863345,Neutral,0.7634022
10/12/2014,What rides would you like to see at the BBC theme park? : Media Monkey,0.020041505,0.8740512,0.10590724,Neutral,0.8740512
10/12/2014,And the best picture Oscar might just go to … Transformers: Age of Extinction,0.024767326,0.56380415,0.4114285,Neutral,0.56380415
11/12/2014,Ten rides you would like to see at the BBC theme park,0.008726796,0.7541509,0.23712228,Neutral,0.7541509
05/01/2015,Why Interstellar Christopher Nolan won't be phoning home : Media Monkey,0.4139751,0.56479174,0.021233156,Neutral,0.56479174
13/02/2015,Oscars 2015: what will win best picture? : Oscar predictions 2015,0.067629606,0.8562982,0.07607222,Neutral,0.8562982
30/03/2015,Sequels in disguise: Transformers cinematic universe on the way,0.013852186,0.8362232,0.14992464,Neutral,0.8362232
24/06/2015,Channing Tatum: I was forced to make GI Joe: Rise of Cobra,0.2278199,0.7172747,0.05490546,Neutral,0.7172747
02/07/2015,Hollywood's fatal attraction to TV: why studios are turning to the small screen,0.63437855,0.3465889,0.019032437,Negative,0.63437855
06/07/2015,I'll be slack: Terminator Genisys flops as Magic Mike's pulling power proves XXS : Box office analysis: global,0.4088995,0.52844846,0.062652044,Neutral,0.52844846
09/07/2015,Streaming deal sees cinema giant bucking tradition and taking on Netflix,0.019385535,0.7190641,0.26155028,Neutral,0.7190641
23/07/2015,EU accuses Sky and Hollywood's big six of illegally 'geo-blocking' film access,0.6237505,0.3648595,0.011389958,Negative,0.6237505
11/08/2015,"Google, Facebook, Twitter and Yahoo claim MPAA is trying to resurrect Sopa",0.044508304,0.79779357,0.15769811,Neutral,0.79779357
10/09/2015,Tomorrow again: Tom Cruise joins Doug Liman's space thriller Luna Park,0.003469574,0.70182836,0.29470208,Neutral,0.70182836
14/10/2015,Thou shalt honour the original: Ten Commandments remake in the pipeline,0.027035786,0.90204674,0.0709175,Neutral,0.90204674
