Time,Headlines,Ticker,Negative,Neutral,Positive,Actual Sentiment,Sentiment value
12/07/2023,Oxenfree II: Lost Signals review – leisurely island adventure charms again,Netflix,0.005629736,0.4069915,0.58737874,Positive,0.58737874
12/07/2023,Bryan Brown calls for local content quotas for streaming services: ‘We need Australian stories’,Netflix,0.095564716,0.8329222,0.07151308,Neutral,0.8329222
10/07/2023,YouTuber Colleen Ballinger loses shows over alleged inappropriate behavior,Netflix,0.9121068,0.08503168,0.00286146,Negative,0.9121068
10/07/2023,The Deepest Breath review – stunning Netflix documentary on freediving,Netflix,0.001997781,0.11982233,0.8781799,Positive,0.8781799
07/07/2023,The Out-Laws review – Pierce Brosnan can’t save limp Netflix comedy,Netflix,0.5428834,0.40931574,0.047800913,Negative,0.5428834
04/07/2023,Daniel Kaluuya’s Barney the Dinosaur film to be ‘adult’ and ‘lean into millennial angst’,Netflix,0.050159313,0.78740245,0.16243827,Neutral,0.78740245
01/07/2023,"Viewers defecting, writers striking … is streaming’s House of Cards about to fall?",Netflix,0.43218517,0.5521556,0.01565929,Neutral,0.5521556
30/06/2023,"The Bear, Futurama and Tár: what’s new to streaming in Australia this July : Stream lover",Netflix,0.009579317,0.8237681,0.16665265,Neutral,0.8237681
28/06/2023,Why are movies and TV shows disappearing from streaming services? : Explain it to me quickly,Netflix,0.44610626,0.5111752,0.042718567,Neutral,0.5111752
27/06/2023,"Britons will soon spend more on streaming than TV, analysts say",Netflix,0.11082381,0.7701079,0.11906822,Neutral,0.7701079
26/06/2023,Feel Chris Hemsworth’s sweat: has Netflix made the strangest billboard ever?,Netflix,0.44954258,0.4825866,0.067870855,Neutral,0.4825866
24/06/2023,Netflix cracks down as it begins password-sharing purge in UK,Netflix,0.5126928,0.46938992,0.017917253,Negative,0.5126928
22/06/2023,The Perfect Find review – Gabrielle Union anchors breezy Netflix romcom,Netflix,0.002479887,0.25130513,0.7462149,Positive,0.7462149
20/06/2023,I won’t pretend Anacondas: The Hunt for the Blood Orchid isn’t stupid. But it’s also very fun : Stream team,Netflix,0.010973028,0.052842703,0.9361843,Positive,0.9361843
18/06/2023,The week in TV: Black Mirror; Best Interests; The Full Monty; Count Abdulla – review : Observer TV reviews,Netflix,0.021044761,0.9110044,0.06795079,Neutral,0.9110044
17/06/2023,Wham! review – Netflix study of 80s pop legends is entertaining but weirdly incurious,Netflix,0.22240028,0.44450736,0.33309242,Neutral,0.44450736
16/06/2023,Women’s sport is entering uncharted waters – can it remain true to its roots? : Sportblog,Netflix,0.073483385,0.8334557,0.09306099,Neutral,0.8334557
16/06/2023,"Cool, sexy and stinking of smoke: why are TV dramas giving cigarettes a comeback?",Netflix,0.3703608,0.4391865,0.19045267,Neutral,0.4391865
15/06/2023,Extraction 2 review – Chris Hemsworth action sequel most interested in extracting cash,Netflix,0.037415225,0.8720673,0.090517536,Neutral,0.8720673
12/06/2023,‘Why is Bridgerton’s race twisting acceptable?’ The real problem with the show’s Black fantasy,Netflix,0.8719203,0.11970609,0.008373572,Negative,0.8719203
10/06/2023,Run Rabbit Run review – Sarah Snook fails to spook,Netflix,0.45426625,0.5089692,0.03676461,Neutral,0.5089692
02/06/2023,"The Idol, Black Mirror and Betoota: what’s new to streaming in Australia this June : Stream lover",Netflix,0.012059843,0.8298797,0.15806043,Neutral,0.8298797
01/06/2023,"The best theatre to stream this month: Blues for An Alabama Sky, Macbeth and more : The best theatre to stream this month",Netflix,0.000835375,0.025101166,0.97406346,Positive,0.97406346
31/05/2023,Drive to Survive commentator sacked from Formula E over ‘inappropriate behaviour’,Netflix,0.70209,0.2807275,0.01718244,Negative,0.70209
30/05/2023,I Think You Should Leave: the TV show so good it beats the Succession finale hands down,Netflix,0.006195164,0.030799977,0.9630048,Positive,0.9630048
28/05/2023,The week in TV: Poker Face; Once Upon a Time in Northern Ireland; Maryland; Platonic – review : Observer TV reviews,Netflix,0.024822036,0.90787274,0.06730521,Neutral,0.90787274
26/05/2023,Digested week: Netflix ends password-sharing – but I’m close to bailing anyway : Digested week,Netflix,0.30978245,0.545336,0.14488155,Neutral,0.545336
23/05/2023,Netflix crackdown on password sharing reaches the UK,Netflix,0.30203012,0.6623727,0.035597194,Neutral,0.6623727
23/05/2023,Netflix expands crackdown on password sharing around the world,Netflix,0.2819555,0.6606214,0.057423126,Neutral,0.6606214
22/05/2023,‘We can’t breathe! We can’t see! We can’t hear!’ – meet the real-life MerPeople,Netflix,0.7578808,0.21048932,0.03162993,Negative,0.7578808
20/05/2023,‘Kafka-esque nightmare’: what many women face when reporting rape,Netflix,0.72099733,0.26862466,0.010377975,Negative,0.72099733
19/05/2023,The Guardian view on striking Hollywood writers: a fight for life,Netflix,0.15434709,0.80328345,0.042369492,Neutral,0.80328345
18/05/2023,"XO, Kitty review – convoluted but charming Netflix teen series : TV review",Netflix,0.009941119,0.3813922,0.6086666,Positive,0.6086666
16/05/2023,‘She was a hustler’: the fascinating true story of Anna Nicole Smith,Netflix,0.020988854,0.5408739,0.4381372,Neutral,0.5408739
16/05/2023,Netflix warns UK broadband firms of crackdown on password sharing,Netflix,0.44067004,0.5310971,0.028232856,Neutral,0.5310971
