Date,Headlines,Negative,Neutral,Positive,Actual Sentiment,Sentiment value
30/06/2023,"The Bear, Futurama and Tár: what’s new to streaming in Australia this July : Stream lover",0.009579317,0.8237681,0.16665265,Neutral,0.8237681
28/06/2023,Why are movies and TV shows disappearing from streaming services? : Explain it to me quickly,0.44610626,0.5111752,0.042718567,Neutral,0.5111752
27/06/2023,"Britons will soon spend more on streaming than TV, analysts say",0.11082381,0.7701079,0.11906822,Neutral,0.7701079
26/06/2023,Feel Chris Hemsworth’s sweat: has Netflix made the strangest billboard ever?,0.44954258,0.4825866,0.067870855,Neutral,0.4825866
24/06/2023,Netflix cracks down as it begins password-sharing purge in UK,0.5126928,0.46938992,0.017917253,Negative,0.5126928
22/06/2023,The Perfect Find review – Gabrielle Union anchors breezy Netflix romcom,0.002479887,0.25130513,0.7462149,Positive,0.7462149
20/06/2023,I won’t pretend Anacondas: The Hunt for the Blood Orchid isn’t stupid. But it’s also very fun : Stream team,0.010973028,0.052842703,0.9361843,Positive,0.9361843
18/06/2023,The week in TV: Black Mirror; Best Interests; The Full Monty; Count Abdulla – review : Observer TV reviews,0.021044761,0.9110044,0.06795079,Neutral,0.9110044
17/06/2023,Wham! review – Netflix study of 80s pop legends is entertaining but weirdly incurious,0.22240028,0.44450736,0.33309242,Neutral,0.44450736
16/06/2023,Women’s sport is entering uncharted waters – can it remain true to its roots? : Sportblog,0.073483385,0.8334557,0.09306099,Neutral,0.8334557
16/06/2023,"Cool, sexy and stinking of smoke: why are TV dramas giving cigarettes a comeback?",0.3703608,0.4391865,0.19045267,Neutral,0.4391865
15/06/2023,Extraction 2 review – Chris Hemsworth action sequel most interested in extracting cash,0.037415225,0.8720673,0.090517536,Neutral,0.8720673
12/06/2023,‘Why is Bridgerton’s race twisting acceptable?’ The real problem with the show’s Black fantasy,0.8719203,0.11970609,0.008373572,Negative,0.8719203
10/06/2023,Run Rabbit Run review – Sarah Snook fails to spook,0.45426625,0.5089692,0.03676461,Neutral,0.5089692
02/06/2023,"The Idol, Black Mirror and Betoota: what’s new to streaming in Australia this June : Stream lover",0.012059843,0.8298797,0.15806043,Neutral,0.8298797
01/06/2023,"The best theatre to stream this month: Blues for An Alabama Sky, Macbeth and more : The best theatre to stream this month",0.000835375,0.025101166,0.97406346,Positive,0.97406346
31/05/2023,Drive to Survive commentator sacked from Formula E over ‘inappropriate behaviour’,0.70209,0.2807275,0.01718244,Negative,0.70209
30/05/2023,I Think You Should Leave: the TV show so good it beats the Succession finale hands down,0.006195164,0.030799977,0.9630048,Positive,0.9630048
28/05/2023,The week in TV: Poker Face; Once Upon a Time in Northern Ireland; Maryland; Platonic – review : Observer TV reviews,0.024822036,0.90787274,0.06730521,Neutral,0.90787274
26/05/2023,Digested week: Netflix ends password-sharing – but I’m close to bailing anyway : Digested week,0.30978245,0.545336,0.14488155,Neutral,0.545336
23/05/2023,Netflix crackdown on password sharing reaches the UK,0.30203012,0.6623727,0.035597194,Neutral,0.6623727
23/05/2023,Netflix expands crackdown on password sharing around the world,0.2819555,0.6606214,0.057423126,Neutral,0.6606214
22/05/2023,‘We can’t breathe! We can’t see! We can’t hear!’ – meet the real-life MerPeople,0.7578808,0.21048932,0.03162993,Negative,0.7578808
20/05/2023,‘Kafka-esque nightmare’: what many women face when reporting rape,0.72099733,0.26862466,0.010377975,Negative,0.72099733
19/05/2023,The Guardian view on striking Hollywood writers: a fight for life,0.15434709,0.80328345,0.042369492,Neutral,0.80328345
18/05/2023,"XO, Kitty review – convoluted but charming Netflix teen series : TV review",0.009941119,0.3813922,0.6086666,Positive,0.6086666
16/05/2023,‘She was a hustler’: the fascinating true story of Anna Nicole Smith,0.020988854,0.5408739,0.4381372,Neutral,0.5408739
16/05/2023,Netflix warns UK broadband firms of crackdown on password sharing,0.44067004,0.5310971,0.028232856,Neutral,0.5310971
15/05/2023,Anna Nicole Smith: You Don’t Know Me review – sympathetic retelling of a tragic life,0.35433167,0.5969992,0.048669156,Neutral,0.5969992
06/05/2023,‘I don’t recall so many attractive people’: experts reveal what The Diplomat gets right – and wrong,0.43450335,0.5168577,0.04863899,Neutral,0.5168577
02/05/2023,"Bridgerton, Muppets Mayhem and Ten Pound Poms: what’s new to streaming in Australia this May : Stream lover",0.012356803,0.8353998,0.15224339,Neutral,0.8353998
01/05/2023,Hollywood writers and studios hold talks as strike deadline looms,0.15313092,0.8285429,0.018326215,Neutral,0.8285429
28/04/2023,"Cleopatra was light-skinned, Egypt tells Netflix in row over drama",0.22752076,0.73876685,0.0337124,Neutral,0.73876685
28/04/2023,What are typical symptoms and treatments for OCD?,0.2575491,0.72494537,0.01750553,Neutral,0.72494537
27/04/2023,I’ve rented DVDs from Netflix for half my life – streaming is a poor substitute,0.60963106,0.32020077,0.070168175,Negative,0.60963106
26/04/2023,Netflix doubles down on UK productions despite slowdown,0.06758951,0.7485242,0.18388636,Neutral,0.7485242
26/04/2023,Black Mirror: new trailer promises big stars and big shocks,0.03782579,0.61662364,0.34555054,Neutral,0.61662364
23/04/2023,"When Cleopatra was alive, she wasn’t categorised by the colour of her skin",0.1500653,0.7997541,0.05018062,Neutral,0.7997541
19/04/2023,Netflix hit hardest in Britons’ post-Christmas ‘subscription cull’,0.6974742,0.28392637,0.018599436,Negative,0.6974742
18/04/2023,Netflix to end mailing of DVDs of movies to subscribers after 25 years,0.21812825,0.7286578,0.05321394,Neutral,0.7286578
16/04/2023,The week in TV: Obsession; Why Didn’t They Ask Evans?; Pretty Baby: Brooke Shields; Colin from Accounts – review : Observer TV reviews,0.098167956,0.8424352,0.059396923,Neutral,0.8424352
14/04/2023,The Last Kingdom: Seven Kings Must Die review – gripping spin-off from Netflix show,0.02062011,0.8351105,0.1442694,Neutral,0.8351105
13/04/2023,Obsession review – the actors in this erotic thriller all seem to need the toilet : TV review,0.7882745,0.20126826,0.010457261,Negative,0.7882745
10/04/2023,African film-makers reimagine folktales as dark fantasy dramas for Netflix,0.030337172,0.85451084,0.11515199,Neutral,0.85451084
10/04/2023,The real Nevermore Academy: my gothic pilgrimage to the set of Netflix’s Wednesday in Romania,0.01635689,0.86178267,0.12186052,Neutral,0.86178267
09/04/2023,The week in TV: Rain Dogs; Beef; Dreamland; Boom! Boom! The World vs Boris Becker – review : Observer TV reviews,0.054565948,0.59902334,0.3464107,Neutral,0.59902334
09/04/2023,Creative tech firm Talenthouse is close to failure as debts mount,0.92464626,0.07227828,0.003075435,Negative,0.92464626
08/04/2023,"Dancing, dating and death: the five best films added to US streaming this week",0.002072748,0.08900752,0.9089197,Positive,0.9089197
06/04/2023,"Beef review – Ali Wong’s dark, existential thriller is deliciously subversive : TV review",0.011026425,0.4682792,0.5206944,Positive,0.5206944
04/04/2023,"Script, what script? Why Parks and Recreation star Ben Schwartz can’t quit improv",0.27573434,0.5800694,0.14419627,Neutral,0.5800694
01/04/2023,‘This is a real moment’: Netflix series cements rise of Welsh language drama,0.013199058,0.49658978,0.49021122,Neutral,0.49658978
01/04/2023,‘More than just shoes’: how Air Jordans kicked off a revolution in sport,0.01204112,0.60285693,0.38510194,Neutral,0.60285693
31/03/2023,‘The all-consuming orgasm’: how erotic thriller Obsession takes sex to the next level,0.050427318,0.67391586,0.27565685,Neutral,0.67391586
31/03/2023,Murder Mystery 2 review – Netflix sequel needs more murder and mystery,0.5101107,0.45888183,0.031007476,Negative,0.5101107
31/03/2023,Lewis Capaldi: How I’m Feeling Now review – self-aware star struggling with weight of expectation,0.23020734,0.7300754,0.039717194,Neutral,0.7300754
31/03/2023,"Aunty Donna, Robert Bresson and The Portable Door: what’s new to streaming in Australia this April : Stream lover",0.008554862,0.8225178,0.16892743,Neutral,0.8225178
28/03/2023,Feelgood factor: Mae Martin’s Sap on Netflix is comedic open-heart surgery,0.003736485,0.14477347,0.8514901,Positive,0.8514901
22/03/2023,Celeste Barber’s next target: ‘The wellness industry is like the new form of church’,0.032819174,0.84940994,0.11777086,Neutral,0.84940994
21/03/2023,‘Led to the edge of the apocalypse’: 30 years on from the Waco massacre,0.5314742,0.4528322,0.01569359,Negative,0.5314742
15/03/2023,‘The story is really complicated’: inside the controversial world of Pornhub,0.52524996,0.43827468,0.03647544,Negative,0.52524996
11/03/2023,Money Shot: The Pornhub Story review – doc can’t find a point of view,0.69434035,0.28850454,0.017155156,Negative,0.69434035
06/03/2023,‘The greatest aviation mystery of all time’: what really happened to flight MH370?,0.33840963,0.6261857,0.03540471,Neutral,0.6261857
05/03/2023,"Succession, Daisy Jones & The Six, and Weird Al: what’s new to streaming in Australia this March : Stream lover",0.005632074,0.7551935,0.23917452,Neutral,0.7551935
05/03/2023,‘It still hurts’: Chris Rock speaks about Will Smith slap for first time,0.36062157,0.6105025,0.028875973,Neutral,0.6105025
05/03/2023,Chris Rock on Netflix: did his live special deliver the goods?,0.02897225,0.8558779,0.11514989,Neutral,0.8558779
28/02/2023,A Whole Lifetime with Jamie Demetriou: ‘I laughed harder – and for longer – than I can remember’,0.02765402,0.31634632,0.6559997,Positive,0.6559997
26/02/2023,"Guys, length isn’t everything when it comes to film-making",0.17918368,0.72801477,0.09280156,Neutral,0.72801477
24/02/2023,We Have a Ghost review – supernatural Netflix caper needs more spirit,0.04429013,0.7643075,0.19140247,Neutral,0.7643075
23/02/2023,"From Warrior Nun to Three Women, TV shows are being cancelled. Yet somehow Emily in Paris lives on",0.7631365,0.2194075,0.01745598,Negative,0.7631365
20/02/2023,Strike threats and Netflix feuds: Wales’s rugby crisis exposes greater problem : Sportblog,0.8084262,0.18180293,0.009770836,Negative,0.8084262
12/02/2023,The Guardian view on the Welsh language: words that matter,0.04392236,0.8491522,0.10692555,Neutral,0.8491522
10/02/2023,Your Place or Mine review – Netflix romcom has big stars but little charm,0.21227363,0.5080698,0.27965656,Neutral,0.5080698
10/02/2023,"‘Sometimes it is racism’: Jada Pinkett Smith on prejudice, typecasting and the fallout from that slap",0.54014564,0.43876263,0.02109179,Negative,0.54014564
09/02/2023,"One in four Australians sharing their streaming video account, survey finds",0.041866966,0.8871108,0.07102222,Neutral,0.8871108
07/02/2023,"Pamela Anderson to host Pamela’s Cooking with Love, a plant-based cooking show",0.003659638,0.77354753,0.22279286,Neutral,0.77354753
07/02/2023,Rufus Sewell and Gillian Anderson to star in film about Prince Andrew’s Newsnight interview,0.013767676,0.9234965,0.06273583,Neutral,0.9234965
04/02/2023,‘There’s a curiosity about what’s behind the curtain’: the rise and rise of TV sports reality shows,0.034626115,0.8379497,0.12742414,Neutral,0.8379497
